2025-05-06 13:43:47 - Spot 7 OCCUPIED - Coords: [[436, 474], [507, 465], [472, 404], [412, 410]] - Occupied: 6 - Available: 11
2025-05-06 13:43:47 - Spot 17 OCCUPIED - Coords: [[1011, 360], [1031, 352], [979, 324], [962, 330]] - Occupied: 12 - Available: 5
2025-05-06 13:43:49 - Spot 2 OCCUPIED - Coords: [[102, 431], [84, 495], [151, 495], [160, 430]] - Occupied: 1 - Available: 16
2025-05-06 13:43:51 - Spot 1 OCCUPIED - Coords: [[47, 435], [102, 432], [84, 498], [24, 496]] - Occupied: 1 - Available: 16
2025-05-06 13:43:53 - Spot 16 OCCUPIED - Coords: [[994, 366], [1012, 361], [961, 330], [940, 335]] - Occupied: 9 - Available: 8
2025-05-06 13:43:54 - Spot 8 OCCUPIED - Coords: [[507, 466], [574, 457], [530, 398], [473, 405]] - Occupied: 5 - Available: 12
2025-05-06 13:43:54 - Spot 15 OCCUPIED - Coords: [[972, 371], [994, 368], [940, 335], [919, 342]] - Occupied: 6 - Available: 11
2025-05-06 13:43:55 - Spot 10 OCCUPIED - Coords: [[637, 445], [690, 437], [641, 385], [588, 390]] - Occupied: 4 - Available: 13
2025-05-06 13:43:56 - Spot 9 OCCUPIED - Coords: [[576, 460], [637, 446], [587, 392], [531, 396]] - Occupied: 2 - Available: 15
2025-05-06 13:43:56 - Spot 11 OCCUPIED - Coords: [[689, 436], [741, 427], [687, 378], [641, 388]] - Occupied: 4 - Available: 13
2025-05-06 13:43:57 - Spot 1 OCCUPIED - Coords: [[47, 435], [102, 432], [84, 498], [24, 496]] - Occupied: 1 - Available: 16
2025-05-06 13:43:57 - Spot 6 OCCUPIED - Coords: [[363, 482], [436, 473], [410, 412], [348, 417]] - Occupied: 2 - Available: 15
2025-05-06 13:43:57 - Spot 7 OCCUPIED - Coords: [[436, 474], [507, 465], [472, 404], [412, 410]] - Occupied: 3 - Available: 14
2025-05-06 13:43:58 - Spot 2 OCCUPIED - Coords: [[102, 431], [84, 495], [151, 495], [160, 430]] - Occupied: 2 - Available: 15
2025-05-06 13:43:59 - Spot 10 OCCUPIED - Coords: [[637, 445], [690, 437], [641, 385], [588, 390]] - Occupied: 7 - Available: 10
2025-05-06 13:43:59 - Spot 15 OCCUPIED - Coords: [[972, 371], [994, 368], [940, 335], [919, 342]] - Occupied: 9 - Available: 8
2025-05-06 13:43:59 - Spot 16 OCCUPIED - Coords: [[994, 366], [1012, 361], [961, 330], [940, 335]] - Occupied: 10 - Available: 7
2025-05-06 13:44:00 - Spot 5 OCCUPIED - Coords: [[292, 487], [282, 420], [348, 417], [363, 482]] - Occupied: 3 - Available: 14
2025-05-06 13:44:01 - Spot 15 OCCUPIED - Coords: [[972, 371], [994, 368], [940, 335], [919, 342]] - Occupied: 10 - Available: 7
2025-05-06 13:44:03 - Spot 3 OCCUPIED - Coords: [[159, 428], [222, 428], [219, 489], [149, 496]] - Occupied: 3 - Available: 14
2025-05-06 13:44:03 - Spot 16 OCCUPIED - Coords: [[994, 366], [1012, 361], [961, 330], [940, 335]] - Occupied: 11 - Available: 6
2025-05-06 13:44:04 - Spot 15 OCCUPIED - Coords: [[972, 371], [994, 368], [940, 335], [919, 342]] - Occupied: 10 - Available: 7
2025-05-06 13:44:08 - Spot 9 OCCUPIED - Coords: [[576, 460], [637, 446], [587, 392], [531, 396]] - Occupied: 1 - Available: 16
2025-05-06 13:44:08 - Spot 10 OCCUPIED - Coords: [[637, 445], [690, 437], [641, 385], [588, 390]] - Occupied: 2 - Available: 15
2025-05-06 13:44:08 - Spot 11 OCCUPIED - Coords: [[689, 436], [741, 427], [687, 378], [641, 388]] - Occupied: 3 - Available: 14
2025-05-06 13:44:08 - Spot 16 OCCUPIED - Coords: [[994, 366], [1012, 361], [961, 330], [940, 335]] - Occupied: 5 - Available: 12
2025-05-06 13:44:09 - Spot 6 OCCUPIED - Coords: [[363, 482], [436, 473], [410, 412], [348, 417]] - Occupied: 1 - Available: 16
2025-05-06 13:44:09 - Spot 7 OCCUPIED - Coords: [[436, 474], [507, 465], [472, 404], [412, 410]] - Occupied: 2 - Available: 15
2025-05-06 13:44:09 - Spot 8 OCCUPIED - Coords: [[507, 466], [574, 457], [530, 398], [473, 405]] - Occupied: 3 - Available: 14
2025-05-06 13:44:09 - Spot 17 OCCUPIED - Coords: [[1011, 360], [1031, 352], [979, 324], [962, 330]] - Occupied: 9 - Available: 8
2025-05-06 13:44:10 - Spot 2 OCCUPIED - Coords: [[102, 431], [84, 495], [151, 495], [160, 430]] - Occupied: 1 - Available: 16
2025-05-06 13:44:10 - Spot 14 OCCUPIED - Coords: [[947, 380], [970, 372], [919, 342], [892, 346]] - Occupied: 7 - Available: 10
2025-05-06 13:44:11 - Spot 3 OCCUPIED - Coords: [[159, 428], [222, 428], [219, 489], [149, 496]] - Occupied: 2 - Available: 15
2025-05-06 13:44:11 - Spot 4 OCCUPIED - Coords: [[217, 491], [290, 488], [282, 422], [221, 426]] - Occupied: 3 - Available: 14
2025-05-06 13:44:11 - Spot 5 OCCUPIED - Coords: [[292, 487], [282, 420], [348, 417], [363, 482]] - Occupied: 4 - Available: 13
2025-05-06 13:44:11 - Spot 11 OCCUPIED - Coords: [[689, 436], [741, 427], [687, 378], [641, 388]] - Occupied: 10 - Available: 7
2025-05-06 13:44:12 - Spot 11 OCCUPIED - Coords: [[689, 436], [741, 427], [687, 378], [641, 388]] - Occupied: 10 - Available: 7
2025-05-06 13:44:12 - Spot 17 OCCUPIED - Coords: [[1011, 360], [1031, 352], [979, 324], [962, 330]] - Occupied: 12 - Available: 5
2025-05-06 13:44:13 - Spot 15 OCCUPIED - Coords: [[972, 371], [994, 368], [940, 335], [919, 342]] - Occupied: 10 - Available: 7
2025-05-06 13:44:14 - Spot 2 OCCUPIED - Coords: [[102, 431], [84, 495], [151, 495], [160, 430]] - Occupied: 1 - Available: 16
2025-05-06 13:44:16 - Spot 9 OCCUPIED - Coords: [[576, 460], [637, 446], [587, 392], [531, 396]] - Occupied: 8 - Available: 9
2025-05-06 13:44:16 - Spot 11 OCCUPIED - Coords: [[689, 436], [741, 427], [687, 378], [641, 388]] - Occupied: 10 - Available: 7
2025-05-06 13:44:16 - Spot 17 OCCUPIED - Coords: [[1011, 360], [1031, 352], [979, 324], [962, 330]] - Occupied: 12 - Available: 5
2025-05-06 13:44:17 - Spot 15 OCCUPIED - Coords: [[972, 371], [994, 368], [940, 335], [919, 342]] - Occupied: 10 - Available: 7
2025-05-06 13:44:18 - Spot 1 OCCUPIED - Coords: [[47, 435], [102, 432], [84, 498], [24, 496]] - Occupied: 1 - Available: 16
2025-05-06 13:44:18 - Spot 4 OCCUPIED - Coords: [[217, 491], [290, 488], [282, 422], [221, 426]] - Occupied: 4 - Available: 13
2025-05-06 13:44:20 - Spot 5 OCCUPIED - Coords: [[292, 487], [282, 420], [348, 417], [363, 482]] - Occupied: 5 - Available: 12
2025-05-06 13:44:21 - Spot 13 OCCUPIED - Coords: [[914, 386], [947, 380], [892, 346], [866, 350]] - Occupied: 10 - Available: 7
2025-05-06 13:44:21 - Spot 14 OCCUPIED - Coords: [[947, 380], [970, 372], [919, 342], [892, 346]] - Occupied: 11 - Available: 6
2025-05-06 13:44:22 - Spot 6 OCCUPIED - Coords: [[363, 482], [436, 473], [410, 412], [348, 417]] - Occupied: 5 - Available: 12
2025-05-06 13:44:23 - Spot 1 OCCUPIED - Coords: [[47, 435], [102, 432], [84, 498], [24, 496]] - Occupied: 1 - Available: 16
